Model,Method,Similarity,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,MSE_std
baseline,als,,"0,1139","0,0005","0,0271","0,0001","0,013","0,0001"
baseline,sgd,,"0,1139","0,0003","0,0264","0,0001","0,013","0,0001"
knn_basic,,cosine,"0,1797","0,0014","0,0791","0,0011","0,0323","0,0005"
knn_basic,,msd,"0,1221","0,0008","0,0160","0,0002","0,0149","0,0002"
knn_basic,,pearson,"0,1457","0,0013","0,0605","0,0005","0,0212","0,0004"
knn_baseline,,cosine,"0,1457","0,0008","0,0489","0,0004","0,0212","0,0002"
knn_baseline,,msd,"0,1135","0,0003","0,0261","0,0001","0,0129","0,0001"
knn_baseline,,pearson,"0,1245","0,0002","0,0411","0,0001","0,0155","0,0001"
knn_with_means,,cosine,"0,1462","0,0006","0,0486","0,0003","0,0214","0,0002"
knn_with_means,,msd,"0,1135","0,0004","0,0262","0,0001","0,0129","0,0001"
knn_with_means,,pearson,"0,1253","0,0011","0,0413","0,0006","0,0157","0,0003"
knn_with_z_score,,cosine,"0,1122","0,0003","0,0268","0,0001","0,0126","0,0001"
knn_with_z_score,,msd,"0,1146","0,0002","0,0266","0,0000","0,0131",0
knn_with_z_score,,pearson,"0,1090","0,0003","0,0256","0,0001","0,0119","0,0001"